C type
GAsyncReadyCallback
GDestroyNotify
SoupAuthDomainBasicAuthCallback
SoupAuthDomainDigestAuthCallback
SoupAuthDomainFilter
SoupAuthDomainGenericAuthCallback
SoupLoggerFilter
SoupLoggerPrinter
SoupMessageHeadersForeachFunc
SoupServerCallback
SoupServerWebsocketCallback
